

hostname elitebyte
gcc: 4
sizeof(int) 4
sizeof(long) 8
sizeof(long long) 8
iterations 100000

0
               5 mountpoint(s)	0.968287 sec	 Sum: 6.830402 sec	Avg: 0.975771 sec	Min: 0.968287 sec	Max: 0.989433 sec	Median: 0.971434 sec
               6 mountpoint(s)	1.000921 sec	 Sum: 7.046681 sec	Avg: 1.006668 sec	Min: 1.000657 sec	Max: 1.025960 sec	Median: 1.001687 sec
               7 mountpoint(s)	1.051238 sec	 Sum: 7.304569 sec	Avg: 1.043509 sec	Min: 1.034026 sec	Max: 1.055315 sec	Median: 1.038101 sec
               8 mountpoint(s)	1.104169 sec	 Sum: 7.584017 sec	Avg: 1.083431 sec	Min: 1.063236 sec	Max: 1.106777 sec	Median: 1.073711 sec
               9 mountpoint(s)	1.128793 sec	 Sum: 7.756990 sec	Avg: 1.108141 sec	Min: 1.098485 sec	Max: 1.128793 sec	Median: 1.103145 sec
7
                       nothing	0.000043 sec	 Sum: 0.000533 sec	Avg: 0.000066 sec	Min: 0.000027 sec	Max: 0.000299 sec	Median: 0.000036 sec
               0 mountpoint(s)	0.826235 sec	 Sum: 6.636492 sec	Avg: 0.829561 sec	Min: 0.798008 sec	Max: 0.909350 sec	Median: 0.811468 sec
               1 mountpoint(s)	0.836021 sec	 Sum: 6.734724 sec	Avg: 0.841840 sec	Min: 0.836021 sec	Max: 0.868009 sec	Median: 0.839003 sec
               2 mountpoint(s)	0.870830 sec	 Sum: 7.011299 sec	Avg: 0.876412 sec	Min: 0.869627 sec	Max: 0.885925 sec	Median: 0.876362 sec
               3 mountpoint(s)	0.901885 sec	 Sum: 7.241355 sec	Avg: 0.905169 sec	Min: 0.900184 sec	Max: 0.913385 sec	Median: 0.903551 sec
               4 mountpoint(s)	0.933616 sec	 Sum: 7.554417 sec	Avg: 0.944302 sec	Min: 0.930963 sec	Max: 0.964852 sec	Median: 0.945057 sec
               5 mountpoint(s)	0.984837 sec	 Sum: 7.815239 sec	Avg: 0.976904 sec	Min: 0.968287 sec	Max: 0.989433 sec	Median: 0.980580 sec
               6 mountpoint(s)	1.012023 sec	 Sum: 8.058704 sec	Avg: 1.007338 sec	Min: 1.000657 sec	Max: 1.025960 sec	Median: 1.003861 sec
               7 mountpoint(s)	1.043263 sec	 Sum: 8.347832 sec	Avg: 1.043479 sec	Min: 1.034026 sec	Max: 1.055315 sec	Median: 1.043263 sec
               8 mountpoint(s)	1.072785 sec	 Sum: 8.656802 sec	Avg: 1.082100 sec	Min: 1.063236 sec	Max: 1.106777 sec	Median: 1.073711 sec
               9 mountpoint(s)	1.107465 sec	 Sum: 8.864455 sec	Avg: 1.108056 sec	Min: 1.098485 sec	Max: 1.128793 sec	Median: 1.106781 sec
8
                       nothing	0.000037 sec	 Sum: 0.000570 sec	Avg: 0.000063 sec	Min: 0.000027 sec	Max: 0.000299 sec	Median: 0.000036 sec
               0 mountpoint(s)	0.800968 sec	 Sum: 7.437460 sec	Avg: 0.826384 sec	Min: 0.798008 sec	Max: 0.909350 sec	Median: 0.810273 sec
               1 mountpoint(s)	0.837528 sec	 Sum: 7.572252 sec	Avg: 0.841361 sec	Min: 0.836021 sec	Max: 0.868009 sec	Median: 0.838893 sec
               2 mountpoint(s)	0.877225 sec	 Sum: 7.888524 sec	Avg: 0.876502 sec	Min: 0.869627 sec	Max: 0.885925 sec	Median: 0.876362 sec
               3 mountpoint(s)	0.907363 sec	 Sum: 8.148718 sec	Avg: 0.905413 sec	Min: 0.900184 sec	Max: 0.913385 sec	Median: 0.903551 sec
               4 mountpoint(s)	0.936119 sec	 Sum: 8.490536 sec	Avg: 0.943392 sec	Min: 0.930963 sec	Max: 0.964852 sec	Median: 0.941019 sec
               5 mountpoint(s)	0.974660 sec	 Sum: 8.789899 sec	Avg: 0.976655 sec	Min: 0.968287 sec	Max: 0.989433 sec	Median: 0.974660 sec
               6 mountpoint(s)	1.001054 sec	 Sum: 9.059758 sec	Avg: 1.006639 sec	Min: 1.000657 sec	Max: 1.025960 sec	Median: 1.001687 sec
               7 mountpoint(s)	1.042937 sec	 Sum: 9.390769 sec	Avg: 1.043418 sec	Min: 1.034026 sec	Max: 1.055315 sec	Median: 1.042937 sec
               8 mountpoint(s)	1.077806 sec	 Sum: 9.734608 sec	Avg: 1.081623 sec	Min: 1.063236 sec	Max: 1.106777 sec	Median: 1.073711 sec
               9 mountpoint(s)	1.117742 sec	 Sum: 9.982197 sec	Avg: 1.109133 sec	Min: 1.098485 sec	Max: 1.128793 sec	Median: 1.106781 sec
9
                       nothing	0.000035 sec	 Sum: 0.000605 sec	Avg: 0.000060 sec	Min: 0.000027 sec	Max: 0.000299 sec	Median: 0.000036 sec
               0 mountpoint(s)	0.800866 sec	 Sum: 8.238326 sec	Avg: 0.823832 sec	Min: 0.798008 sec	Max: 0.909350 sec	Median: 0.810273 sec
               1 mountpoint(s)	0.837399 sec	 Sum: 8.409651 sec	Avg: 0.840965 sec	Min: 0.836021 sec	Max: 0.868009 sec	Median: 0.838893 sec
               2 mountpoint(s)	0.871961 sec	 Sum: 8.760485 sec	Avg: 0.876048 sec	Min: 0.869627 sec	Max: 0.885925 sec	Median: 0.876362 sec
               3 mountpoint(s)	0.909910 sec	 Sum: 9.058628 sec	Avg: 0.905862 sec	Min: 0.900184 sec	Max: 0.913385 sec	Median: 0.904780 sec
               4 mountpoint(s)	0.932704 sec	 Sum: 9.423240 sec	Avg: 0.942324 sec	Min: 0.930963 sec	Max: 0.964852 sec	Median: 0.941019 sec
               5 mountpoint(s)	0.965960 sec	 Sum: 9.755859 sec	Avg: 0.975585 sec	Min: 0.965960 sec	Max: 0.989433 sec	Median: 0.974660 sec
               6 mountpoint(s)	1.006068 sec	 Sum: 10.065826 sec	Avg: 1.006582 sec	Min: 1.000657 sec	Max: 1.025960 sec	Median: 1.003861 sec
               7 mountpoint(s)	1.039312 sec	 Sum: 10.430081 sec	Avg: 1.043008 sec	Min: 1.034026 sec	Max: 1.055315 sec	Median: 1.042937 sec
               8 mountpoint(s)	1.069561 sec	 Sum: 10.804169 sec	Avg: 1.080416 sec	Min: 1.063236 sec	Max: 1.106777 sec	Median: 1.073711 sec
               9 mountpoint(s)	1.100136 sec	 Sum: 11.082333 sec	Avg: 1.108233 sec	Min: 1.098485 sec	Max: 1.128793 sec	Median: 1.106781 sec
10
                       nothing	0.000030 sec	 Sum: 0.000635 sec	Avg: 0.000057 sec	Min: 0.000027 sec	Max: 0.000299 sec	Median: 0.000035 sec
               0 mountpoint(s)	0.798948 sec	 Sum: 9.037274 sec	Avg: 0.821570 sec	Min: 0.798008 sec	Max: 0.909350 sec	Median: 0.801720 sec
               1 mountpoint(s)	0.837340 sec	 Sum: 9.246991 sec	Avg: 0.840635 sec	Min: 0.836021 sec	Max: 0.868009 sec	Median: 0.838144 sec
               2 mountpoint(s)	0.872633 sec	 Sum: 9.633118 sec	Avg: 0.875738 sec	Min: 0.869627 sec	Max: 0.885925 sec	Median: 0.874162 sec
               3 mountpoint(s)	0.905751 sec	 Sum: 9.964379 sec	Avg: 0.905852 sec	Min: 0.900184 sec	Max: 0.913385 sec	Median: 0.904780 sec
               4 mountpoint(s)	0.935648 sec	 Sum: 10.358888 sec	Avg: 0.941717 sec	Min: 0.930963 sec	Max: 0.964852 sec	Median: 0.936119 sec
               5 mountpoint(s)	0.975446 sec	 Sum: 10.731305 sec	Avg: 0.975573 sec	Min: 0.965960 sec	Max: 0.989433 sec	Median: 0.974660 sec
               6 mountpoint(s)	1.010064 sec	 Sum: 11.075890 sec	Avg: 1.006899 sec	Min: 1.000657 sec	Max: 1.025960 sec	Median: 1.003861 sec
               7 mountpoint(s)	1.035730 sec	 Sum: 11.465811 sec	Avg: 1.042346 sec	Min: 1.034026 sec	Max: 1.055315 sec	Median: 1.039312 sec
               8 mountpoint(s)	1.079679 sec	 Sum: 11.883848 sec	Avg: 1.080349 sec	Min: 1.063236 sec	Max: 1.106777 sec	Median: 1.073711 sec
               9 mountpoint(s)	1.104620 sec	 Sum: 12.186953 sec	Avg: 1.107904 sec	Min: 1.098485 sec	Max: 1.128793 sec	Median: 1.104620 sec
